company_number,Officer_full_name,occupation,LinkedIn ID
00063351,John Alistair Betts Gordon,Company Director,https://www.linkedin.com/in/alastair-gordon-b78a2a67/
00063351,Robert Arthur Betts Gordon,Company Director,https://www.linkedin.com/in/rob-gordon-126baa89/
00191194,Angela Sarah Taylor,Co Secretary,https://www.linkedin.com/in/angela-taylor-8b1a84110/
00191194,Angela Sarah Taylor,Company Secretary,https://www.linkedin.com/in/angela-taylor-8b1a84110/
00191194,Anthony Thomas Peter Smith,Director,https://www.linkedin.com/in/tony-smith-a1340764/
00191194,Christopher Paul Marsh,Director,https://www.linkedin.com/in/chris-marsh-0a103711/
00257353,Ilias Spyropoulos,(blank),https://www.linkedin.com/in/iliasspyropoulos/
00257353,James Edwin Briggs,Managing Director/Chairman,https://www.linkedin.com/in/james-briggs-132b392b/
00257353,Michael Fallis-Taylor,Managing Director,https://www.linkedin.com/in/fallistaylor/
00267550,Ian Charles Cooper,Company Director,https://www.linkedin.com/in/ian-cooper-13b45217/
00267550,Michael Ord,Company Director,https://www.linkedin.com/in/michael-wells-a514a733/
00267550,Paul Macgregor,Company Director,https://www.linkedin.com/in/paul-macgregor-uk/
00307186,Caroline Olive Mary Gumble (Previously Warren),Chief Executive,https://www.linkedin.com/posts/caroline-gumble-dr-86708314_chartered-activity-7217192475059220481-jXb1/
00307186,Dominic James Haworth Broom,Banker,https://www.linkedin.com/in/dominic-haworth-1900819/
00307186,Filomena Teixeira,Trustee Director,https://www.linkedin.com/in/phillyteixeira/?originalSubdomain=dk
00307186,Jayakumar Venkataraman,Trustee Director,https://www.linkedin.com/in/jayakumar-jakes-venkataraman-6000841/
00307186,John Henry Myers Alty,Trustee Director,https://www.linkedin.com/in/phillip-adnett-b83988a4/
00307186,Marcel Hugo Landau,Self Employed,https://www.linkedin.com/in/marcel-landau-8b82532b/
00307186,Mark Charles Lincoln,Supply Chain Director,https://www.linkedin.com/in/mark-lincoln/
00307186,Nicholas Cyril Clark,Trustee Director,https://www.linkedin.com/in/nicholas-clark-56b6612/
00307186,"Professor Khorana, Sangeeta",University Professor,https://www.linkedin.com/in/sangeeta-khorana-71131a26/
00307186,Stephen Mcquillan,Director,https://www.linkedin.com/in/stephenmcquillan1/
00307186,Terence Charles William Scuoler,Chief Executive,https://www.linkedin.com/in/terryscuoler/
00395974,Malcolm Sean Parkinson,Commercial Director,https://www.linkedin.com/in/sean-parkinson-97420637/
00395974,Malcolm Sean Parkinson,(blank),https://www.linkedin.com/in/sean-parkinson-97420637/
00395974,Michael Henry Parkinson,Non Executive Director,https://www.linkedin.com/in/sean-parkinson-97420637/
00453791,Bevan John Browne,Company Director,https://www.linkedin.com/in/bevan-browne-3b016b12/
00453791,John Michael Delaney,Director,https://www.linkedin.com/in/john-delaney-6699b928/
00453791,Katie Elizabeth Smart,(blank),https://www.linkedin.com/in/katie-smart-16a7a825/
00453791,Mark Thomas Wood,Commercial Director,https://www.linkedin.com/in/mark-wood-36608924a/
00453791,Robin John Doody,Regional Director,https://www.linkedin.com/in/robdoody/
00453791,Shaun Davidson,Managing Director Asphalt & Paving,https://www.linkedin.com/in/shaun-davidson-60943221/
00453791,Simon James Grey,Company Director,https://www.linkedin.com/in/simon-james-34887b18b/
00504877,Alexander David Baldock,Director,https://www.linkedin.com/in/alex-baldock-b6a68011/
00504877,Andrew David Gamble,Director,https://www.linkedin.com/in/andygamble/
00504877,Bruce Marsh,Director,https://www.linkedin.com/in/bruce-marsh-04147427/
00504877,Edward John Connolly,Director,https://www.linkedin.com/in/ed-connolly-7515064/
00504877,Lindsay Joanne Haselhurst,Director,https://www.linkedin.com/in/lindsay-haselhurst-70462bb/
00504877,Paula Coughlan,Chief Hr Officer,https://www.linkedin.com/in/paula-coughlan-b26b4a4/
00504877,Sarah Thomas,(blank),https://www.linkedin.com/in/sarah-thomas-williams-aa5a7a4/
00571546,Catherine Sarah Pawan,(blank),https://www.linkedin.com/posts/catherinepawan_roche-diagnostics-uk-ireland-linkedin-activity-6820688252031262720-Hiz4/
00571546,Geoffrey John Twist,Managing Director,https://www.linkedin.com/in/geoff-twist-a1176692/
00571546,Niklas Kruse,Finance Director,https://www.linkedin.com/in/niklas-kruse-55570a2b/
00634143,Alan Dykes,Director,https://www.linkedin.com/in/alan-dykes-6054967/
00634143,Christopher John Maidment,Director,https://www.linkedin.com/in/christopher-maidment/
00634143,Christopher John Pritchard,(blank),https://www.linkedin.com/in/chris-pritchard-7446865/
00634143,Christopher Pritchard,Finance Director,https://www.linkedin.com/in/chris-pritchard-7446865/
00634143,Martin Coates,Engineering Director,https://www.linkedin.com/in/martin-coates-64b41860/
00634143,Matthew Edward Charles Cotton,Company Director,https://www.linkedin.com/in/matt-cotton-90386823/
00634143,Timothy John Puttick,Manufacturing Director,https://www.linkedin.com/in/tim-puttick-14070ab4/
00696597,Hector Alexander Jack Worsley,Company Director,https://www.linkedin.com/in/hector-worsley-645914b2/
00696597,William Albert Prangle,Technical Sales Director,https://www.linkedin.com/in/will-prangle-6a3b5561/
00703317,James Nicholas Czerniewski,(blank),https://www.linkedin.com/in/james-czerniewski-47082b82/
00703317,Jemimah Parnell,Group People Director,https://www.linkedin.com/in/jemimahparnell/
00703317,Luan Rosalie Hughes,Chief Information Officer,https://www.linkedin.com/in/luan-hughes-a5b1733/
00703317,Michael James Mohan,Group Engineering Director,https://www.linkedin.com/in/mick-mohan-3735114a/
